2023-04-23 20:56:59.601 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6aae82cc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7a587e84, org.springframework.security.web.context.SecurityContextHolderFilter@3e61cffd, org.springframework.security.web.header.HeaderWriterFilter@15bb8ed5, org.springframework.security.web.authentication.logout.LogoutFilter@1c79d093, com.litao.security.filter.AuthenticationTokenFilter@785a4557, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@aa633e6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3cc74fc4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@622ba721, org.springframework.security.web.session.SessionManagementFilter@625db0e0, org.springframework.security.web.access.ExceptionTranslationFilter@3dcbbbc, org.springframework.security.web.access.intercept.AuthorizationFilter@665ed71a]
2023-04-23 20:56:59.920 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 20:56:59.939 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 20:56:59.947 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 3.932 seconds (process running for 5.249)
2023-04-23 20:57:20.922 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 20:57:20.922 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 20:57:20.923 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-23 20:57:21.544 [http-nio-8080-exec-23] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 101 ms
2023-04-23 21:03:04.305 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:03:04.347 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 3660 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-23 21:03:04.348 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:03:05.436 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
