2023-04-29 10:55:48.557 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2023-04-29 10:55:49.201 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-29 10:55:49.210 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-29 10:55:49.211 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-29 10:55:49.211 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-29 10:55:49.302 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-29 10:55:49.303 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1606 ms
2023-04-29 10:55:51.160 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7b2dd35d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@405223e4, org.springframework.security.web.context.SecurityContextHolderFilter@5f0ca069, org.springframework.security.web.header.HeaderWriterFilter@60f3239f, org.springframework.security.web.authentication.logout.LogoutFilter@4cded2cd, com.litao.security.filter.AuthenticationTokenFilter@481ed95c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@552ffa44, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e66b498, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2d2133fd, org.springframework.security.web.session.SessionManagementFilter@4fef5792, org.springframework.security.web.access.ExceptionTranslationFilter@47d4e28a, org.springframework.security.web.access.intercept.AuthorizationFilter@43df1377]
2023-04-29 10:55:51.516 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-29 10:55:51.536 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-29 10:55:51.545 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 4.359 seconds (process running for 5.214)
2023-04-29 10:55:57.849 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-29 10:55:57.849 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-29 10:55:57.850 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-29 10:55:58.428 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-29 10:55:58.684 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@47274fdc
2023-04-29 10:55:58.685 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-29 12:13:52.601 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-29 12:13:52.604 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
